Picture,File Path,Date,Subject,Place,Lat,Long,Lat ,Long,All geo data from,https://www.latlong.net/
Image 2,640Pics\5-30-22,05/30/22,View north from Tank Hill,Tank Hill,37.76034,-122.447168,37.76034,-122.447168,,
Image 3,640Pics\5-30-22,05/30/22,Sutro Tower,Twin Peaks Blvd,37.759226,-122.447515,37.759226,-122.447515,,
Image 4,640Pics\5-30-22,05/30/22,Sutro Tower,Twin Peaks Blvd,37.755782,-122.445239,37.755782,-122.445239,,
Image 5,640Pics\5-30-22,05/30/22,Pride Triangle,Twin Peaks,37.755494,-122.445722,37.755494,-122.445722,,
Image 6,640Pics\5-30-22,05/30/22,Sutro Tower,Twin Peaks,37.755044,-122.447848,37.755044,-122.447848,,
Image 7,640Pics\5-30-22,05/30/22,Downtown from above pride triangle ,Twin Peaks,37.754815,-122.446473,37.754815,-122.446473,,
Image 8,640Pics\5-30-22,05/30/22,Down market from twin peaks,Twin peaks,37.754603,-122.446312,37.754603,-122.446312,,
Image 9,640Pics\5-30-22,05/30/22,AZERTY graffitti,Twin Peaks,37.753619,-122.446806,37.753619,-122.446806,,
Image 10,640Pics\5-30-22,05/30/22,skater,twin peaks,37.753432,-122.446817,37.753432,-122.446817,,
Image 11,640Pics\5-30-22,05/30/22,skater,twin peaks,37.753432,-122.446817,37.753432,-122.446817,,
Image 12,640Pics\5-30-22,05/30/22,Skater on ramp,twin peaks,37.753008,-122.446946,37.753008,-122.446946,,
Image 13,640Pics\5-30-22,05/30/22,Skater on ramp,twin peaks,37.753008,-122.446946,37.753008,-122.446946,,
Image 14,640Pics\5-30-22,05/30/22,Hawk hovering in front of sutro tower,twin peaks,37.752542,-122.44774,37.752542,-122.44774,,
Image 15,640Pics\5-30-22,05/30/22,Hawk hovering in front of sutro tower,twin peaks,37.752542,-122.44774,37.752542,-122.44774,,
Image 16,640Pics\5-30-22,05/30/22,Hawk hovering in front of sutro tower,twin peaks,37.752542,-122.44774,37.752542,-122.44774,,
Image 2,640Pics\6-17-22,06/17/22,Conservatory of Flowers,Conservatory of Flowers,37.772472,-122.460196,37.772472,-122.460196,,
Image 3,640Pics\6-17-22,06/17/22,Corpse flower,Conservatory of Flowers,37.772472,-122.460196,37.772472,-122.460196,,
Image 4,640Pics\6-17-22,06/17/22,Pitcher Plant,Conservatory of Flowers,37.772472,-122.460196,37.772472,-122.460196,,
Image 5,640Pics\6-17-22,06/17/22,Flower,Conservatory of Flowers,37.772472,-122.460196,37.772472,-122.460196,,
Image 6,640Pics\6-17-22,06/17/22,Pitcher Plant,Conservatory of Flowers,37.772472,-122.460196,37.772472,-122.460196,,
Image 7,640Pics\6-17-22,06/17/22,Pitcher Plant,Conservatory of Flowers,37.772472,-122.460196,37.772472,-122.460196,,
Image 8,640Pics\6-17-22,06/17/22,Flower,Conservatory of Flowers,37.772472,-122.460196,37.772472,-122.460196,,
Image 9,640Pics\6-17-22,06/17/22,Flower,Conservatory of Flowers,37.772472,-122.460196,37.772472,-122.460196,,
Image 10,640Pics\6-17-22,06/17/22,Water Lily,Conservatory of Flowers,37.772472,-122.460196,37.772472,-122.460196,,
Image 11,640Pics\6-17-22,06/17/22,Water Lily,Conservatory of Flowers,37.772472,-122.460196,37.772472,-122.460196,,
Image 12,640Pics\6-17-22,06/17/22,flower,Conservatory of Flowers,37.772472,-122.460196,37.772472,-122.460196,,
Image 13,640Pics\6-17-22,06/17/22,flower,Conservatory of Flowers,37.772472,-122.460196,37.772472,-122.460196,,
Image 14,640Pics\6-17-22,06/17/22,Corpse flower,Conservatory of Flowers,37.772472,-122.460196,37.772472,-122.460196,,
Image 15,640Pics\6-17-22,06/17/22,Corpse flower,Conservatory of Flowers,37.772472,-122.460196,37.772472,-122.460196,,
Image 16,640Pics\6-17-22,06/17/22,Corpse flower,Conservatory of Flowers,37.772472,-122.460196,37.772472,-122.460196,,
Image 1,640Pics\6-24-22,06/24/22,Roe V Wade protest,Market & Powell,37.784628,-122.407567,37.784628,-122.407567,,
Image 2,640Pics\6-24-22,06/24/22,Roe V Wade protest,Market & Powell,37.784475,-122.407728,37.784475,-122.407728,,
Image 3,640Pics\6-24-22,06/24/22,Fire to the prisons,Jones & Golden Gate,37.782148,-122.412119,37.782148,-122.412119,,
Image 4,640Pics\6-24-22,06/24/22,Saint Boniface Church,Golden Gate Ave,37.782042,-122.413225,37.782042,-122.413225,,
Image 5,640Pics\6-24-22,06/24/22,We Will Defend Each Other,Phillip Burton Federal Building,37.781609,-122.417758,37.781609,-122.417758,,
Image 6,640Pics\6-24-22,06/24/22,We Will Defend Each Other,Phillip Burton Federal Building,37.781609,-122.417758,37.781609,-122.417758,,
Image 7,640Pics\6-24-22,06/24/22,Roe V Wade protest,SF City Hall,37.779718,-122.418671,37.779718,-122.418671,,
Image 8,640Pics\6-24-22,06/24/22,Roe V Wade protest,SF City Hall,37.779684,-122.418757,37.779684,-122.418757,,
Image 9,640Pics\6-24-22,06/24/22,Roe V Wade protest,SF City Hall,37.779591,-122.41866,37.779591,-122.41866,,
Image 10,640Pics\6-24-22,06/24/22,Roe V Wade protest,SF City Hall,37.779434,-122.418757,37.779434,-122.418757,,
Image 11,640Pics\6-24-22,06/24/22,Roe V Wade protest,SF City Hall,37.779434,-122.418757,37.779434,-122.418757,,
Image 12,640Pics\6-24-22,06/24/22,Roe V Wade protest,SF City Hall,37.779434,-122.418757,37.779434,-122.418757,,
Image 13,640Pics\6-24-22,06/24/22,Roe V Wade protest,SF City Hall,37.779434,-122.418757,37.779434,-122.418757,,
Image 14,640Pics\6-24-22,06/24/22,Roe V Wade protest,SF City Hall,37.779434,-122.418757,37.779434,-122.418757,,
Image 15,640Pics\6-24-22,06/24/22,SF City Hall,Civic Center Plaza,37.778913,-122.41786,37.778913,-122.41786,,
Image 16,640Pics\6-24-22,06/24/22,Roe V Wade protest,Market & Hyde,37.778811,-122.414849,37.778811,-122.414849,,
Image 1,640Pics\6-27-22,06/27/22,Bought another Quicktake 150,Found on camera,0,0,0,0,,
Image 2,640Pics\6-27-22,06/27/22,Bought another Quicktake 150,Found on camera,0,0,0,0,,
Image 3,640Pics\6-27-22,06/27/22,Bought another Quicktake 150,Found on camera,0,0,0,0,,
Image 4,640Pics\6-27-22,06/27/22,Bought another Quicktake 150,Found on camera,0,0,0,0,,
Image 5,640Pics\6-27-22,06/27/22,Bought another Quicktake 150,Found on camera,0,0,0,0,,
Image 1,640Pics\6-28-22,06/28/22,GG Bridge,Baker Beach,37.793259,-122.483516,,,,
Image 2,640Pics\6-28-22,06/28/22,Flock of Pelicans,Baker Beach,37.792011,-122.484947,,,,
Image 3,640Pics\6-28-22,06/28/22,Seacliff,Baker Beach,37.789637,-122.487232,,,,
Image 4,640Pics\6-28-22,06/28/22,Fisherman and Dog,Baker Beach,37.790196,-122.486491,,,,
Image 5,640Pics\6-28-22,06/28/22,Skywriting,Seacliff Avenue,37.788399,-122.489497,,,,
Image 6,640Pics\6-28-22,06/28/22,William’s Memorial,Seacliff Avenue,37.787922,-122.489644,,,,
Image 7,640Pics\6-28-22,06/28/22,Watering the fucking golf course during a drought,El Camino del Mar,37.786286,-122.494239,,,,
Image 8,640Pics\6-28-22,06/28/22,GG Bridge,El Camino del Mar,37.785862,-122.495033,,,,
Image 9,640Pics\6-28-22,06/28/22,GG Bridge,El Camino del Mar,37.785985,-122.496767,,,,
Image 10,640Pics\6-28-22,06/28/22,49 Mile Drive sign (no flash),El Camino del Mar,37.785722,-122.500262,,,,
Image 11,640Pics\6-28-22,06/28/22,49 Mile Drive sign (no flash),El Camino del Mar,37.785722,-122.500262,,,,
Image 12,640Pics\6-28-22,06/28/22,49 Mile Drive sign (flash),El Camino del Mar,37.785722,-122.500262,,,,
Image 13,640Pics\6-28-22,06/28/22,49 Mile Drive sign (flash),El Camino del Mar,37.785722,-122.500262,,,,
Image 1,640Pics\7-15-22,07/15/22,Burrito,Taqueria Cancun,37.760535,-122.420153,,,,
Image 2,640Pics\7-15-22,07/15/22,Burrito,Taqueria Cancun,37.760535,-122.420153,,,,
Image 3,640Pics\7-15-22,07/15/22,Grill,Taqueria Cancun,37.760535,-122.420153,,,,
Image 4,640Pics\7-15-22,07/15/22,Grill,Taqueria Cancun,37.760535,-122.420153,,,,
Image 5,640Pics\7-15-22,07/15/22,Grill,Taqueria Cancun,37.760535,-122.420153,,,,
Image 6,640Pics\7-15-22,07/15/22,People waiting in line,Taqueria Cancun,37.760535,-122.420153,,,,
Image 7,640Pics\7-15-22,07/15/22,Paul,Beretta,37.77586,-122.438224,,,,
Image 8,640Pics\7-15-22,07/15/22,Me & Kat,Beretta,37.77586,-122.438224,,,,
Image 9,640Pics\7-15-22,07/15/22,People,Fool’s Errand,37.775559,-122.438052,,,,
Image 10,640Pics\7-15-22,07/16/22,Fnnch mural (duck),Oak between Broderick and Divis,37.772985,-122.438342,,,,
Image 1,640Pics\7-19-22,07/19/22,Whiz Burger Sign,Whiz Burger,37.761871,-122.417373,,,,
Image 2,640Pics\7-19-22,07/19/22,Whiz Burger Order Window,Whiz Burger,37.761871,-122.417373,,,,
Image 3,640Pics\7-19-22,07/19/22,Whiz Burger ‘Burger’,Whiz Burger,37.761871,-122.417373,,,,
Image 4,640Pics\7-19-22,07/19/22,Experiment In Fog,Portola & Woodside,37.745694,-122.451496,,,,
Image 5,640Pics\7-19-22,07/19/22,Experiment In Fog,Portola & Woodside,37.745694,-122.451496,,,,
Image 6,640Pics\7-19-22,07/19/22,Experiment in Fog Molly Stone,Portola at Molly Stone,37.745172,-122.452495,,,,
Image 7,640Pics\7-19-22,07/19/22,Experiment in Fog Molly Stone,Portola at Molly Stone,37.745172,-122.452495,,,,
Image 1,640Pics\7-20-22,07/20/22,Bought another Quicktake 150,Found on camera,0,0,,,,
Image 2,640Pics\7-20-22,07/20/2022,Bought another Quicktake 150,Found on camera,0,0,,,,
Image 3,640Pics\7-20-22,07/20/2022,Bought another Quicktake 150,Found on camera,0,0,,,,
Image 4,640Pics\7-20-22,07/20/2022,Bought another Quicktake 150,Found on camera,0,0,,,,
Image 5,640Pics\7-20-22,07/20/2022,Bought another Quicktake 150,Found on camera,0,0,,,,
Image 6,640Pics\7-20-22,07/20/2022,Bought another Quicktake 150,Found on camera,0,0,,,,
Image 1,640Pics\7-21-22,07/21/22,16th Ave Steps,16th Ave Steps,37.756243,-122.473628,,,,
Image 2,640Pics\7-21-22,07/21/22,16th Ave Steps,16th Ave Steps,37.756243,-122.473628,,,,
Image 3,640Pics\7-21-22,07/21/22,16th Ave Steps,16th Ave Steps,37.756247,-122.473155,,,,
Image 4,640Pics\7-21-22,07/21/22,Sunset from Grandview Park,15th and Noriega,37.755878,-122.472393,,,,
Image 5,640Pics\7-21-22,07/21/22,Inner sunset from beginning of aloha avenue,Aloha and Funston,37.757396,-122.470208,,,,
Image 6,640Pics\7-21-22,07/21/22,Houses on a hill,Lurline St at Funston,37.759275,-122.47038,,,,
Image 7,640Pics\7-21-22,07/21/22,St Anne of the Sunset,Judah & Funston,37.761862,-122.470504,,,,
Image 8,640Pics\7-21-22,07/21/22,Buffalo flamingo mural,Irving @ 36th,37.762846,-122.495309,,,,
Image 9,640Pics\7-21-22,07/21/22,Buffalo flamingo mural,Irving @ 36th,37.762846,-122.495309,,,,
Image 1,640Pics\7-23-22,07/23/22,Goat,Francisco Park,37.80364,-122.421063,,,,
Image 2,640Pics\7-23-22,07/23/22,Goat,Francisco Park,37.80364,-122.421063,,,,
Image 3,640Pics\7-23-22,07/23/22,Goat,Francisco Park,37.80364,-122.421063,,,,
Image 4,640Pics\7-23-22,07/23/22,Goat,Francisco Park,37.80364,-122.421063,,,,
Image 5,640Pics\7-23-22,07/23/22,Goat,Francisco Park,37.80364,-122.421063,,,,
Image 6,640Pics\7-23-22,07/23/22,Lombard st / Marina,Lombard above Polk,37.801624,-122.422417,,,,
Image 7,640Pics\7-23-22,07/23/22,Lombard st / Marina,Lombard above Polk,37.801624,-122.422417,,,,
Image 8,640Pics\7-23-22,07/23/22,Lombard st / Marina,Lombard above Polk,37.801624,-122.422417,,,,
Image 9,640Pics\7-23-22,07/23/22,Weed,Apothecarium,37.799418,-122.441391,,,,
Image 10,640Pics\7-23-22,07/23/22,Fish,6th Ave Aquarium,37.782707,-122.463885,,,,
Image 11,640Pics\7-23-22,07/23/22,Fish,6th Ave Aquarium,37.782707,-122.463885,,,,
Image 12,640Pics\7-23-22,07/23/22,Fish,6th Ave Aquarium,37.782707,-122.463885,,,,
Image 13,640Pics\7-23-22,07/23/22,Fish,6th Ave Aquarium,37.782707,-122.463885,,,,
Image 14,640Pics\7-23-22,07/23/22,Fish,6th Ave Aquarium,37.782707,-122.463885,,,,
Image 15,640Pics\7-23-22,07/23/22,Fish,6th Ave Aquarium,37.782707,-122.463885,,,,
Image 1,640Pics\8-14-22,08/14/22,Phil Lesh concert,Stern Grove,37.736567,-122.478996,,,,
Image 2,640Pics\8-14-22,08/14/22,Phil Lesh concert,Stern Grove,37.736567,-122.478996,,,,
Image 3,640Pics\8-14-22,08/14/22,Part of panorama,Stern Grove,37.736567,-122.478996,,,,
Image 4,640Pics\8-14-22,08/14/22,Part of panorama,Stern Grove,37.736567,-122.478996,,,,
Image 5,640Pics\8-14-22,08/14/22,Part of panorama,Stern Grove,37.736567,-122.478996,,,,
Image 6,640Pics\8-14-22,08/14/22,Part of panorama,Stern Grove,37.736567,-122.478996,,,,
Image 7,640Pics\8-14-22,08/14/22,Part of panorama,Stern Grove,37.736567,-122.478996,,,,
Image 8,640Pics\8-14-22,08/14/22,Part of panorama,Stern Grove,37.736567,-122.478996,,,,
Image 9,640Pics\8-14-22,08/14/22,Part of panorama,Stern Grove,37.736567,-122.478996,,,,
Image 10,640Pics\8-14-22,08/14/22,Part of panorama,Stern Grove,37.736567,-122.478996,,,,
Image 11,640Pics\8-14-22,08/14/22,Lower concert,Stern Grove,37.736219,-122.478856,,,,
Image 12,640Pics\8-14-22,08/14/22,Lower Concert / Uncle John’s Band,Stern Grove,37.736219,-122.478856,,,,
Image 13,640Pics\8-14-22,08/14/22,Lower Concert / Uncle John’s Band,Stern Grove,37.736219,-122.478856,,,,
Image 14,640Pics\8-14-22,08/14/22,Lower Concert / Uncle John’s Band,Stern Grove,37.736219,-122.478856,,,,
Image 15,640Pics\8-14-22,08/14/22,Dog pic,Stern Grove,37.736694,-122.481208,,,,
Image 16,640Pics\8-14-22,08/14/22,Dog pic,Stern Grove,37.736694,-122.481208,,,,
Image 1,640pics\8-19-22,08/19/22,North Beach/Financial District,From broadway between jones and taylor,37.796884,-122.41456,,,,
Image 2,640pics\8-19-22,08/19/22,Financial District Bay Bridge,Ina Coolbrith Park,37.79841,-122.413648,,,,
Image 3,640pics\8-19-22,08/19/22,Financial District Bay Bridge,Ina Coolbrith Park,37.79841,-122.413648,,,,
Image 4,640pics\8-19-22,08/19/22,Financial District Bay Bridge,Ina Coolbrith Park,37.79841,-122.413648,,,,
Image 5,640pics\8-19-22,08/19/22,Financial District Bay Bridge,Above Ina Coolbrith Park,37.797914,-122.414339,,,,
Image 6,640pics\8-19-22,08/19/22,Waldo alley,Waldo Alley,37.796973,-122.41697,,,,
Image 7,640pics\8-19-22,08/19/22,Pacific & Jones,Pacific & Jones,37.795985,-122.415069,,,,
Image 8,640pics\8-19-22,08/19/22,Apple genius bar,Union square Apple store,37.788622,-122.407269,,,,
Image 9,640pics\8-19-22,08/19/22,New macs,Union square Apple store,37.788622,-122.407269,,,,
Image 10,640pics\8-19-22,08/19/22,Ruth asawa fountain,Union square Apple store,37.788876,-122.407119,,,,
Image 11,640pics\8-19-22,08/19/22,Ruth asawa fountain,Union square Apple store,37.788876,-122.407119,,,,
Image 12,640pics\8-19-22,08/19/22,450 sutter st,450 sutter st,37.789236,-122.407816,,,,
Image 13,640pics\8-19-22,08/19/22,Cable Car,Sutter & Powell,37.789173,-122.408503,,,,
Image 14,640pics\8-19-22,08/19/22,Cable Car,Powell at union square,37.787977,-122.408471,,,,
Image 15,640pics\8-19-22,08/19/22,Cable car turnaround,Powell at ellis,37.785103,-122.407816,,,,
Image 16,640pics\8-19-22,08/19/22,1072 Streetcar,Market at 3rd st,37.787358,-122.403975,,,,
Image 1,640Pics\8-20-22,08/20/22,Good ‘ol san francisco murder hole,Battery Godfrey,37.803627,-122.47733,,,,
Image 2,640Pics\8-20-22,08/20/22,Good ‘ol san francisco murder hole,Battery Godfrey,37.803627,-122.47733,,,,
Image 3,640Pics\8-20-22,08/20/22,Good ‘ol san francisco murder hole,Battery Godfrey,37.803627,-122.47733,,,,
Image 4,640Pics\8-20-22,08/20/22,Good ‘ol san francisco murder hole,Battery Godfrey,37.803627,-122.47733,,,,
Image 5,640Pics\8-20-22,08/20/22,Pelicans,Battery Godfrey,37.803293,-122.477948,,,,
Image 6,640Pics\8-20-22,08/20/22,Rave,Battery Godfrey,37.803204,-122.477862,,,,
Image 7,640Pics\8-20-22,08/20/22,Bridge,Battery Boutelle,37.80467,-122.477389,,,,
Image 8,640Pics\8-20-22,08/20/22,A battery,Battery Marcus Miller,37.805191,-122.476869,,,,
Image 9,640Pics\8-20-22,08/20/22,Fuck that shit is dark,Battery Marcus Miller,37.805645,-122.477014,,,,
Image 10,640Pics\8-20-22,08/20/22,Down the bridge,Battery Marcus Miller,37.805795,-122.477057,,,,
Image 11,640Pics\8-20-22,08/20/22,Under the bridge,Golden Gate Bridge,37.808126,-122.476682,,,,
Image 12,640Pics\8-20-22,08/20/22,Side view of bridge,Golden gate bridge,37.808347,-122.476402,,,,
Image 13,640Pics\8-20-22,08/20/22,Unclaimed Baggage Truck,Ortega and 37th ave,37.751488,-122.495977,,,,
Image 14,640Pics\8-20-22,08/20/22,Unclaimed Baggage Truck,Ortega and 37th ave,37.751488,-122.495977,,,,
Image 15,640Pics\8-20-22,08/20/22,Unclaimed Baggage Truck,Ortega and 37th ave,37.751488,-122.495977,,,,
Image 1,640Pics\8-20-22-2,08/20/22,Quicktake Nikon & powerbook Duo,Golden gate bridge overlook,37.804072,-122.476703,,,,
Image 2,640Pics\8-20-22-2,08/20/22,Quicktake Nikon & powerbook Duo,Golden gate bridge overlook,37.804072,-122.476703,,,,
Image 3,640Pics\8-20-22-2,08/20/22,Down the golden gate bridge,Golden gate bridge overlook,37.804072,-122.476703,,,,
Image 1,640Pics\8-21-22\1,8-21-22,Birds on Lloyd Lake,Lloyd Lake,37.77056,-122.481368,,,,
Image 2,640Pics\8-21-22\1,8-21-22,Birds on Lloyd Lake,Lloyd Lake,37.77056,-122.481368,,,,
Image 3,640Pics\8-21-22\1,8-21-22,Birds on Lloyd Lake,Lloyd Lake,37.77056,-122.481368,,,,
Image 4,640Pics\8-21-22\1,8-21-22,Birds on Lloyd Lake,Lloyd Lake,37.77056,-122.481368,,,,
Image 5,640Pics\8-21-22\1,8-21-22,Birds on Lloyd Lake,Lloyd Lake,37.77056,-122.481368,,,,
Image 1,640Pics\8-21-22\2,8-21-22,Birds on Lloyd Lake,Lloyd Lake,37.77056,-122.481368,,,,
Image 2,640Pics\8-21-22\2,8-21-22,Birds on Lloyd Lake,Lloyd Lake,37.77056,-122.481368,,,,
Image 3,640Pics\8-21-22\2,8-21-22,Birds on Lloyd Lake,Lloyd Lake,37.77056,-122.481368,,,,
Image 4,640Pics\8-21-22\2,8-21-22,Birds on Lloyd Lake,Lloyd Lake,37.77056,-122.481368,,,,
Image 1,640Pics\8-21-22\3,8-21-22,Birds on Lloyd Lake,Lloyd Lake,37.77056,-122.481368,,,,
Image 2,640Pics\8-21-22\3,8-21-22,Birds on Lloyd Lake,Lloyd Lake,37.77056,-122.481368,,,,
Image 1,640Pics\8-21-22\4,8-21-22,Birds on Lloyd Lake,Lloyd Lake,37.77056,-122.481368,,,,
Image 2,640Pics\8-21-22\4,8-21-22,Birds on Lloyd Lake,Lloyd Lake,37.77056,-122.481368,,,,
Image 3,640Pics\8-21-22\4,8-21-22,Birds on Lloyd Lake,Lloyd Lake,37.77056,-122.481368,,,,
Image 1,640Pics\8-21-22\5,8-21-22,Portals of the Past,Lloyd Lake,37.770288,-122.481722,,,,
Image 2,640Pics\8-21-22\5,8-21-22,Portals of the Past,Lloyd Lake,37.770288,-122.481722,,,,
Image 3,640Pics\8-21-22\5,8-21-22,Portals of the Past,Lloyd Lake,37.770288,-122.481722,,,,
Image 4,640Pics\8-21-22\5,8-21-22,Portals of the Past,Lloyd Lake,37.770288,-122.481722,,,,
Image 5,640Pics\8-21-22\5,8-21-22,Portals of the Past,Lloyd Lake,37.770288,-122.481722,,,,
Image 6,640Pics\8-21-22\5,8-21-22,Portals of the Past,Lloyd Lake,37.770288,-122.481722,,,,
Image 7,640Pics\8-21-22\5,8-21-22,Portals of the Past,Lloyd Lake,37.770288,-122.481722,,,,
Image 1,640Pics\8-21-22\6,8-21-22,View down to Great Highway,Sutro Heights,37.777429,-122.511873,,,,
Image 2,640Pics\8-21-22\6,8-21-22,View down to Great Highway,Sutro Heights,37.777429,-122.511873,,,,
Image 3,640Pics\8-21-22\6,8-21-22,View down to Great Highway,Sutro Heights,37.777429,-122.511873,,,,
Image 4,640Pics\8-21-22\6,8-21-22,View down to Great Highway,Sutro Heights,37.777429,-122.511873,,,,
Image 5,640Pics\8-21-22\6,8-21-22,View down to Great Highway,Sutro Heights,37.777429,-122.511873,,,,
Image 6,640Pics\8-21-22\6,8-21-22,View down to Great Highway,Sutro Heights,37.777429,-122.511873,,,,
Image 7,640Pics\8-21-22\6,8-21-22,View down to Great Highway,Sutro Heights,37.777429,-122.511873,,,,
Image 1,640Pics\8-21-22\7,8-21-22,View down to Great Highway,Sutro Heights,37.777429,-122.511873,,,,
Image 2,640Pics\8-21-22\7,8-21-22,View down to Great Highway,Sutro Heights,37.777429,-122.511873,,,,
Image 3,640Pics\8-21-22\7,8-21-22,View down to Great Highway,Sutro Heights,37.777429,-122.511873,,,,
Image 4,640Pics\8-21-22\7,8-21-22,View down to Great Highway,Sutro Heights,37.777429,-122.511873,,,,
Image 5,640Pics\8-21-22\7,8-21-22,View down to Great Highway,Sutro Heights,37.777429,-122.511873,,,,
Image 6,640Pics\8-21-22\7,8-21-22,View down to Great Highway,Sutro Heights,37.777429,-122.511873,,,,
Image 1,640Pics\8-21-22\8,8-21-22,View down to Great Highway,Sutro Heights,37.777429,-122.511873,,,,
Image 2,640Pics\8-21-22\8,8-21-22,View down to Great Highway,Sutro Heights,37.777429,-122.511873,,,,
Image 3,640Pics\8-21-22\8,8-21-22,View down to Great Highway,Sutro Heights,37.777429,-122.511873,,,,
Image 4,640Pics\8-21-22\8,8-21-22,View down to Great Highway,Sutro Heights,37.777429,-122.511873,,,,
Image 5,640Pics\8-21-22\8,8-21-22,View down to Great Highway,Sutro Heights,37.777429,-122.511873,,,,
Image 6,640Pics\8-21-22\8,8-21-22,View down to Great Highway,Sutro Heights,37.777429,-122.511873,,,,
Image 7,640Pics\8-21-22\8,8-21-22,View down to Great Highway,Sutro Heights,37.777429,-122.511873,,,,
Image 8,640Pics\8-21-22\8,8-21-22,Surfers on Ocean Beach,Sutro Heights,37.777429,-122.511873,,,,
Image 9,640Pics\8-21-22\8,8-21-22,Surfers on Ocean Beach,Sutro Heights,37.777429,-122.511873,,,,
Image 10,640Pics\8-21-22\8,8-21-22,Surfers on Ocean Beach,Sutro Heights,37.777429,-122.511873,,,,
Image 1,640Pics\8-21-22\9,8-21-22,Graffiti,Stair 25 at Ocean Beach,37.766815,-122.510966,,,,
Image 2,640Pics\8-21-22\9,8-21-22,Graffiti,Stair 25 at Ocean Beach,37.766815,-122.510966,,,,
Image 3,640Pics\8-21-22\9,8-21-22,Graffiti,Stair 25 at Ocean Beach,37.766815,-122.510966,,,,
Image 1,640Pics\8-25-22\1,8-25-22,@mohitbhoite art,Spark Social,37.770738,-122.391656,,,,
Image 2,640Pics\8-25-22\1 ,8-25-22,@mohitbhoite art,Spark Social,37.770738,-122.391656,,,,
Image 1,640Pics\8-25-22\2,8-25-22,Hardware happy hour group meetup,Spark Social,37.770738,-122.391656,,,,
Image 2,640Pics\8-25-22\2,8-25-22,Hardware happy hour group meetup,Spark Social,37.770738,-122.391656,,,,
Image 3,640Pics\8-25-22\2,8-25-22,A flying instagram drone?,Spark Social,37.770738,-122.391656,,,,
Image 4,640Pics\8-25-22\2,8-25-22,LEDs,Spark Social,37.770738,-122.391656,,,,
Image 5,640Pics\8-25-22\2,8-25-22,Alvaro,Spark Social,37.770738,-122.391656,,,,
Image 6,640Pics\8-25-22\2,8-25-22,People?,Spark Social,37.770738,-122.391656,,,,
Image 7,640Pics\8-25-22\2,8-25-22,LEDs,Spark Social,37.770738,-122.391656,,,,
Image 1,640Pics\8-25-22\3,8-25-22,LEDs,Spark Social,37.770738,-122.391656,,,,
Image 2,640Pics\8-25-22\3,8-25-22,LEDs,Spark Social,37.770738,-122.391656,,,,
Image 3,640Pics\8-25-22\3,8-25-22,LEDs,Spark Social,37.770738,-122.391656,,,,
Image 4,640Pics\8-25-22\3,8-25-22,LEDs,Spark Social,37.770738,-122.391656,,,,
Image 1,640Pics\8-26-22,8-26-22,Britex Sign,Corner of Geary & Stockton,37.787502,-122.406668,,,,
Image 2,640Pics\8-26-22,8-26-22,Tunnel Top sign,South stairwell of Stockton tunnel,37.790296,-122.407151,,,,
Image 3,640Pics\8-26-22,8-26-22,Green door,South down stockton from tunnel,37.790288,-122.407189,,,,
Image 4,640Pics\8-26-22,8-26-22,Cable Car,Powell at Bush,37.789965,-122.408896,,,,
Image 5,640Pics\8-26-22,8-26-22,Two Cable Cars,Powell at Bush,37.789965,-122.408896,,,,
Image 6,640Pics\8-26-22,8-26-22,450 Sutter Lobby,450 Sutter Lobby,37.789414,-122.407774,,,,
Image 7,640Pics\8-26-22,8-26-22,450 Sutter Lobby,450 Sutter Lobby,37.789414,-122.407774,,,,
Image 8,640Pics\8-26-22,8-26-22,450 Sutter Lobby,450 Sutter Lobby,37.789414,-122.407774,,,,
Image 9,640Pics\8-26-22,8-26-22,450 Sutter Lobby,450 Sutter Lobby,37.789414,-122.407774,,,,
Image 1,640Pics\8-27-22\1,8-27-22,Unsuccessful GG Bridge Overlook,GG Bridge Overlook,37.804072,-122.476703,,,,
Image 2,640Pics\8-27-22\1,8-27-22,Unsuccessful GG Bridge Overlook,GG Bridge Overlook,37.804072,-122.476703,,,,
Image 3,640Pics\8-27-22\1,8-27-22,Unsuccessful GG Bridge Overlook,GG Bridge Overlook,37.804072,-122.476703,,,,
Image 4,640Pics\8-27-22\1,8-27-22,Unsuccessful GG Bridge Overlook,GG Bridge Overlook,37.804072,-122.476703,,,,
Image 1,640Pics\8-27-22\2,8-27-22,Unsuccessful GG Bridge Overlook,GG Bridge Overlook,37.804072,-122.476703,,,,
Image 2,640Pics\8-27-22\2,8-27-22,Unsuccessful GG Bridge Overlook,GG Bridge Overlook,37.804072,-122.476703,,,,
Image 3,640Pics\8-27-22\2,8-27-22,Unsuccessful GG Bridge Overlook,GG Bridge Overlook,37.804072,-122.476703,,,,
Image 4,640Pics\8-27-22\2,8-27-22,Unsuccessful GG Bridge Overlook,GG Bridge Overlook,37.804072,-122.476703,,,,
Image 5,640Pics\8-27-22\2,8-27-22,Unsuccessful GG Bridge Overlook,GG Bridge Overlook,37.804072,-122.476703,,,,
Image 6,640Pics\8-27-22\2,8-27-22,Unsuccessful GG Bridge Overlook,GG Bridge Overlook,37.804072,-122.476703,,,,
Image 7,640Pics\8-27-22\2,8-27-22,Unsuccessful GG Bridge Overlook,GG Bridge Overlook,37.804072,-122.476703,,,,
Image 1,640Pics\8-27-22\3,8-27-22,Unsuccessful GG Bridge Overlook,GG Bridge Overlook,37.804072,-122.476703,,,,
